Date,Away_team,Home_conference,Away_conference
11/9/2021,Louisiana Tech,Southeastern,Conference USA
11/9/2021,Tennessee St.,Southwest Athletic,Ohio Valley
11/9/2021,Towson,America East,Colonial Athletic Association
11/9/2021,Marist,Patriot League,Metro Atlantic Athletic
11/9/2021,Northern Arizona,Pacific-12,Big Sky
11/9/2021,Portland,Pacific-12,West Coast
11/9/2021,Mercer,Southeastern,Southern
11/9/2021,Harding,Sun Belt,NA
11/9/2021,New Paltz,Patriot League,NA
11/9/2021,Morehead St.,Southeastern,Ohio Valley
11/9/2021,UT Southern,Ohio Valley,NA
11/9/2021,Cornell,America East,Ivy League
11/9/2021,Utah Valley,Mountain West,Western Athletic
11/9/2021,Dartmouth,Atlantic Coast,Ivy League
11/9/2021,Salve Regina,Ivy League,NA
11/9/2021,Fisher,Northeast,NA
11/9/2021,IUPUI,Big East,Horizon League
11/9/2021,Cleveland St.,West Coast,Horizon League
11/9/2021,San Francisco St.,Western Athletic,NA
11/9/2021,Westcliff,Big West,NA
11/9/2021,UC San Diego,Pacific-12,Big West
11/9/2021,William Peace,Big South,NA
11/9/2021,Johnson & Wales NC,Big South,NA
11/9/2021,Monmouth,Conference USA,Metro Atlantic Athletic
11/9/2021,St. Thomas,Western Athletic,Summit League
11/9/2021,Evansville,American Athletic,Missouri Valley
11/9/2021,Presbyterian,Atlantic Coast,Big South
11/9/2021,Ferrum,Sun Belt,NA
11/9/2021,Northeastern,Patriot League,Colonial Athletic Association
11/9/2021,Montana St.,Pacific-12,Big Sky
11/9/2021,Oral Roberts,Mountain West,Summit League
11/9/2021,Central Connecticut,Big East,Northeast
11/9/2021,Arkansas Pine Bluff,Big East,Southwest Athletic
11/9/2021,Delaware,Atlantic 10,Colonial Athletic Association
11/9/2021,Illinois Chicago,Atlantic 10,Horizon League
11/9/2021,Cairn,Mid-Eastern Athletic,NA
11/9/2021,Regis,Summit League,NA
11/9/2021,Coe,Missouri Valley,NA
11/9/2021,Neumann,Colonial Athletic Association,NA
11/9/2021,Kentucky,Atlantic Coast,Southeastern
11/9/2021,Rider,Atlantic 10,Metro Atlantic Athletic
11/9/2021,South Carolina St.,American Athletic,Mid-Eastern Athletic
11/9/2021,Georgetown KY,Atlantic Sun,NA
11/9/2021,Elon,Southeastern,Colonial Athletic Association
11/9/2021,Florida National,Atlantic Sun,Conference USA
11/9/2021,Columbia,Atlantic 10,Ivy League
11/9/2021,Fresno Pacific,Mountain West,NA
11/9/2021,North Greenville,Southern,NA
11/9/2021,Stony Brook,Atlantic 10,America East
11/9/2021,St. Francis PA,Atlantic 10,Northeast
11/9/2021,FIU,Southeastern,NCAA
11/9/2021,Ball St.,Sun Belt,Mid-American
11/9/2021,Brewton Parker,Sun Belt,NA
11/9/2021,Miami OH,Atlantic Coast,Mid-American
11/9/2021,Dixie St.,West Coast,Western Athletic
11/9/2021,Grambling St.,Western Athletic,Southwest Athletic
11/9/2021,Indiana St.,Horizon League,Missouri Valley
11/9/2021,Mid Atlantic Christian,Big South,NA
11/9/2021,Morehouse,Ivy League,NA
11/9/2021,Shenandoah,Big South,NA
11/9/2021,Regis MA,Patriot League,NA
11/9/2021,Hofstra,American Athletic,Colonial Athletic Association
11/9/2021,District of Columbia,Mid-Eastern Athletic,NA
11/9/2021,Eastern Oregon,Big Sky,NA
11/9/2021,Jackson St.,Big Ten,Southwest Athletic
11/9/2021,UNC Wilmington,Missouri Valley,Colonial Athletic Association
11/9/2021,Texas St.,Southland,Sun Belt
11/9/2021,Eastern Michigan,Big Ten,Mid-American
11/9/2021,Appalachian St.,Metro Atlantic Athletic,Sun Belt
11/9/2021,Longwood,Big Ten,Big South
11/9/2021,Kennesaw St.,Big 12,Atlantic Sun
11/9/2021,Trinity Baptist,Atlantic Sun,NA
11/9/2021,Sacred Heart,Atlantic 10,Northeast
11/9/2021,Wiley,Western Athletic,NA
11/9/2021,Birmingham Southern,Atlantic Sun,NA
11/9/2021,Birmingham Southern,Atlantic Sun,NA
11/9/2021,Southern Illinois,Sun Belt,Missouri Valley
11/9/2021,West Florida,Sun Belt,NA
11/9/2021,Southern,Atlantic Coast,Southwest Athletic
11/9/2021,Coppin St.,Missouri Valley,Mid-Eastern Athletic
11/9/2021,Chattanooga,West Coast,Southern
11/9/2021,Louisiana Monroe,Southeastern,Sun Belt
11/9/2021,Manhattanville,Metro Atlantic Athletic,NA
11/9/2021,SIU Edwardsville,Big East,Ohio Valley
11/9/2021,Quinnipiac,Big Ten,Metro Atlantic Athletic
11/9/2021,UMBC,Atlantic 10,America East
11/9/2021,Tennessee Tech,American Athletic,Ohio Valley
11/9/2021,Emerson,Northeast,NA
11/9/2021,Canisius,Atlantic Coast,Metro Atlantic Athletic
11/9/2021,Kansas,Big Ten,Big 12
11/9/2021,Brescia,Conference USA,NA
11/9/2021,UMKC,Big Ten,Western Athletic
11/9/2021,New Orleans,Southeastern,Southland
11/9/2021,Central Michigan,Southeastern,Mid-American
11/9/2021,Southeast Missouri St.,Missouri Valley,Ohio Valley
11/9/2021,Dickinson St.,Big Sky,NA
11/9/2021,St. Mary's MD,Mid-Eastern Athletic,NA
11/9/2021,Cumberland,Ohio Valley,NA
11/9/2021,Bucknell,Big Sky,Patriot League
11/9/2021,Western Illinois,Big Ten,Summit League
11/9/2021,Hastings,Summit League,NA
11/9/2021,Eastern Washington,Mountain West,Big Sky
11/9/2021,St. Joseph's ME,America East,NA
11/9/2021,UC Irvine,Western Athletic,Big West
11/9/2021,Bridgewater VA,Mid-Eastern Athletic,NA
11/9/2021,Loyola MD,Atlantic Coast,Patriot League
11/9/2021,Milwaukee,Summit League,Horizon League
11/9/2021,Concordia College MN,Summit League,NA
11/9/2021,Oklahoma Christian,Conference USA,NA
11/9/2021,Nicholls St.,Missouri Valley,Southland
11/9/2021,Wheeling Jesuit,Horizon League,NA
11/9/2021,Eastern Illinois,Big Ten,Ohio Valley
11/9/2021,Belmont,Mid-American,Ohio Valley
11/9/2021,Akron,Big Ten,Mid-American
11/9/2021,Northwestern St.,Big 12,Southland
11/9/2021,UT Arlington,Big 12,Sun Belt
11/9/2021,Texas Southern,Pacific-12,Southwest Athletic
11/9/2021,Portland St.,Pacific-12,Big Sky
11/9/2021,The Citadel,Atlantic Coast,Southern
11/9/2021,Rutgers Camden,Ivy League,NA
11/9/2021,Fairfield,Big East,Metro Atlantic Athletic
11/9/2021,Bellarmine,Big Ten,Atlantic Sun
11/9/2021,Earlham,Horizon League,NA
11/9/2021,Emory & Henry,Big South,NA
11/9/2021,Boston University,Atlantic 10,Patriot League
11/9/2021,Pepperdine,Conference USA,West Coast
11/9/2021,North Carolina Central,Atlantic 10,Mid-Eastern Athletic
11/9/2021,William Jessup,Big Sky,NA
11/9/2021,Maryland Eastern Shore,Atlantic 10,Mid-Eastern Athletic
11/9/2021,Central Arkansas,Atlantic 10,Atlantic Sun
11/9/2021,Prairie View A&M,West Coast,Southwest Athletic
11/9/2021,Maryville TN,Southern,NA
11/9/2021,La Verne,West Coast,NA
11/9/2021,UC Riverside,Mountain West,Big West
11/9/2021,LIU,West Coast,Northeast
11/9/2021,Cal St. Fullerton,West Coast,Big West
11/9/2021,McNeese St.,American Athletic,Southland
11/9/2021,Spring Hill,Sun Belt,NA
11/9/2021,USC Upstate,Southeastern,Big South
11/9/2021,Bradley,Summit League,Missouri Valley
11/9/2021,Bethune Cookman,American Athletic,Southwest Athletic
11/9/2021,William Carey,Conference USA,NA
11/9/2021,Bethesda,Big Sky,Pacific Christian Athletic
11/9/2021,Siena,Atlantic 10,Metro Atlantic Athletic
11/9/2021,Mississippi Valley St.,Big East,Southwest Athletic
11/9/2021,Tarleton St.,Pacific-12,Western Athletic
11/9/2021,LSU Alexandria,Western Athletic,NA
11/9/2021,Florida Memorial,Atlantic Sun,NA
11/9/2021,Lafayette,Atlantic Coast,Patriot League
11/9/2021,Tennessee Martin,Southeastern,Ohio Valley
11/9/2021,Houston Baptist,Big 12,Southland
11/9/2021,Texas Lutheran,Southland,NA
11/9/2021,North Florida,Big 12,Atlantic Sun
11/9/2021,Carver,Sun Belt,NA
11/9/2021,Southeastern Louisiana,American Athletic,Southland
11/9/2021,UNC Asheville,Conference USA,Big South
11/9/2021,Cal St. Bakersfield,Pacific-12,Big West
11/9/2021,Rivier,America East,NA
11/9/2021,North Carolina A&T,Southern,Big South
11/9/2021,Cal St. Northridge,Pacific-12,Big West
11/9/2021,Texas A&M Intl,Western Athletic,NA
11/9/2021,Abilene Christian,Pacific-12,Western Athletic
11/9/2021,UC Davis,Mountain West,Big West
11/9/2021,Western New Mexico,Conference USA,NA
11/9/2021,Trinity TX,Conference USA,NA
11/9/2021,Toledo,Missouri Valley,Mid-American
11/9/2021,Saint Peter's,Atlantic 10,Metro Atlantic Athletic
11/9/2021,Mount St. Mary's,Big East,Northeast
11/9/2021,Navy,Atlantic Coast,Patriot League
11/9/2021,Maine,Atlantic Coast,America East
11/9/2021,Carlow,Southern,NA
11/9/2021,Hartford,Northeast,America East
11/9/2021,Northern Illinois,Pacific-12,Mid-American
11/9/2021,Alcorn St.,Pacific-12,Southwest Athletic
11/9/2021,Western Colorado,Big Sky,NA
11/9/2021,Oakland,Big 12,Horizon League
11/9/2021,Bowling Green,Southern,Mid-American
11/9/2021,Alabama St.,Conference USA,Southwest Athletic
11/9/2021,Jacksonville St.,American Athletic,Atlantic Sun
11/9/2021,Mary Baldwin,Big South,NA
11/9/2021,St. Francis NY,Big Ten,Northeast
11/9/2021,Bob Jones,Southern,NA
11/9/2021,Lake Erie,Horizon League,NA
11/9/2021,Niagara,Big East,Metro Atlantic Athletic
11/9/2021,Vassar,Ivy League,NA
11/10/2021,Coppin St.,Big East,Mid-Eastern Athletic
11/10/2021,Penn,Atlantic Coast,Ivy League
11/10/2021,Hawaii Hilo,Big West,NA
11/10/2021,Regent,Mid-Eastern Athletic,NA
11/10/2021,Long Beach St.,Big Sky,Big West
11/10/2021,Carlow,Colonial Athletic Association,NA
11/10/2021,Florida A&M,Big 12,Southwest Athletic
11/10/2021,Buffalo,Big Ten,Mid-American
11/10/2021,North Alabama,Southeastern,Atlantic Sun
11/10/2021,Florida Atlantic,Mountain West,Conference USA
11/10/2021,Pacific,Big Sky,West Coast
11/10/2021,Virginia Wesleyan,Conference USA,NA
11/10/2021,Youngstown St.,Big Ten,Horizon League
11/10/2021,Lehigh,Big Ten,Patriot League
11/10/2021,Harris Stowe,Atlantic 10,NA
11/10/2021,LeTourneau,Western Athletic,NA
11/10/2021,Alcorn St.,Western Athletic,Southwest Athletic
11/10/2021,Fairleigh Dickinson,Big East,Northeast
11/10/2021,Maryland Eastern Shore,American Athletic,Mid-Eastern Athletic
11/10/2021,North Florida,Southeastern,Atlantic Sun
11/10/2021,Northwestern St.,American Athletic,Southland
11/10/2021,San Francisco St.,Big West,NA
11/10/2021,Robert Morris,American Athletic,Horizon League
11/10/2021,Gardner Webb,Mountain West,Big South
