team,SRS,SOS,conf_wins,conf_losses,ppg,ppg_allowed,MP,FG,FGA,FG_pct,X3P,X3PA,X3P_pct,FT,FTA,FT_pct,ORB,TRB,AST,STL,BLK,TOV,PF,tournament
Abilene Christian,2.25,-2.09,11,7,76.7,67.6,40.6,26.3,60,0.438,6.86,21.5,0.32,17.3,22.9,0.754,10.4,32.1,14.9,10.9,1.86,12.6,22.3,0
Air Force,-5.67,1.33,4,13,59,66,40,21.6,49.6,0.436,7.17,21.6,0.333,8.62,13.3,0.649,5.93,26.6,12.5,5.45,3.03,13.6,18,0
Akron,0.91,-3.93,14,6,70.6,62.6,40.1,24.3,52.9,0.46,7.79,22,0.354,14.2,20.6,0.689,9.82,34.9,11.6,5.85,3.24,11.4,15.8,1
Alabama A&M,-14.43,-8.86,10,8,61.4,67,40.7,21.9,57.8,0.379,3.9,14.4,0.271,13.8,19.4,0.713,11.1,37.8,9.5,7.03,3.2,13.6,16.1,0
UAB,10.9,-0.14,14,4,80.3,66.7,40.4,29.6,63.2,0.468,7.89,21,0.376,13.3,18,0.739,12.1,38.3,12.9,9.54,4.17,11.5,16.5,1
Alabama State,-12.05,-5.45,8,10,69.7,75.2,40.3,24.2,56.8,0.426,6.23,18.7,0.332,15,21.5,0.698,10.5,34.3,12,7.55,3.58,15.4,18.1,0
Alabama,14.62,11.59,9,9,79.5,76.5,40.2,27.6,62.8,0.44,9.24,29.9,0.309,15,20.6,0.728,13.4,39.6,14.7,7.06,4.7,14.5,18.5,1
Albany,-9.8,-5.77,9,9,61.8,65.9,40.2,23,56.2,0.41,5.87,18.2,0.323,9.9,14.1,0.704,9.06,32,9.42,6.74,2.45,12.4,18,0
Alcorn State,-8.68,-4.12,14,4,66.5,71.1,40.3,24,58.4,0.412,5.38,17.1,0.316,13.1,18.9,0.692,11.8,35.9,10.4,7.44,2.71,14.1,17.8,0
American,-15.38,-7.91,5,13,63.5,70.9,40.3,24.4,54.3,0.45,5.03,15.2,0.331,9.63,13.9,0.694,6.97,30.7,12.2,6.53,3.06,13.3,14.9,0
Appalachian State,-1.45,-1.45,12,6,67.1,63.1,40.1,24.2,57.8,0.418,8.32,24.9,0.335,10.4,15.8,0.659,9.85,35.3,12.6,5.62,2.5,10.3,12.9,0
Arizona State,7.64,9.48,10,10,65.4,67.2,40.6,25,60.4,0.414,6.9,22.5,0.307,8.48,12.8,0.661,9.42,35.5,13.4,6.68,4.23,11.9,18.1,0
Arizona,22.75,6.84,18,2,84,68.1,40.3,30.2,61.3,0.492,7.76,22,0.352,15.8,21.4,0.739,11.6,41.4,19.6,6.73,5.68,13.4,16.7,1
Little Rock,-12.05,-0.73,3,11,66.7,73.1,40.7,23.3,55.1,0.422,7.04,20.9,0.337,13.2,17.9,0.735,8.32,31.5,13,6.93,2.14,13.8,16.7,0
Arkansas-Pine Bluff,-18.96,-4.58,5,13,66.3,78.3,40.2,22.8,55.9,0.409,6.84,22.7,0.301,13.8,19.3,0.715,8.77,29.5,11.5,7.16,2.58,13.1,17.4,0
Arkansas State,-3.27,-3.5,8,7,70.9,68.1,40.2,25.7,57,0.451,5.41,17.4,0.311,14.1,18.9,0.745,10.1,36,15.6,7.9,3.31,13.9,16.6,0
Arkansas,16.27,8.62,13,5,75.9,68.3,40.3,26.3,60.6,0.434,6.3,20.7,0.304,17.1,22.5,0.76,10.8,37.8,13.8,7.59,4.14,12.2,16.9,1
Army,-10.53,-7.53,9,9,70.4,70.4,40.3,25.9,59.3,0.437,6.74,21,0.321,11.8,18.7,0.63,11.1,37.2,12.5,7.84,1.87,13.2,14.8,0
Auburn,19.2,8.17,15,3,78.2,67.2,40.6,27.7,63.7,0.435,8.06,25.4,0.318,14.7,20.1,0.731,12.8,40.4,14.7,8.35,8,12.1,18.5,1
Austin Peay,-10.02,-3.39,8,10,64.7,69.1,40.5,23.1,56.5,0.408,7.9,25,0.315,10.6,15,0.706,10.6,32.8,13.5,6.41,2.03,14,16.7,0
Ball State,-7.99,-4.56,9,10,74.3,76.8,40.2,25.4,57.5,0.442,8.55,23.7,0.361,14.9,21.5,0.694,9.71,35.6,13.2,6.06,2.42,14,17.9,0
Baylor,21.73,8.76,14,4,77,64.1,40.3,28.3,61.3,0.462,8.06,23.5,0.343,12.4,17.8,0.697,12.9,37.2,15.9,8.76,3.44,12.4,16.1,1
Bellarmine,-3.77,-1.28,11,5,70.1,67.2,40.2,26.6,56,0.475,7.79,22.9,0.34,9.12,12.1,0.753,7.27,30.3,14.5,5.61,1.67,9.45,14.3,0
Belmont,6.49,-2.57,15,3,78.3,68.6,40.3,29,59.4,0.488,8.55,25.8,0.332,11.7,15.8,0.743,7.76,33.5,18,9.06,3.91,11.8,13.7,0
Bethune-Cookman,-14.7,-6.7,7,11,63.4,69.5,40.3,23.7,56.8,0.416,4.8,14.3,0.336,11.2,16.3,0.689,10,32.6,10.7,7.93,2.43,13.4,17.1,0
Binghamton,-10.41,-6.18,8,10,67.7,68.4,40.2,25.7,58.3,0.441,7.34,20.8,0.354,8.86,13.4,0.661,9.52,36,11.5,5.66,3.66,12.6,16.7,0
Boise State,11.93,5.22,15,3,68.3,60.9,40.4,24.3,54.6,0.445,7.34,21.2,0.346,12.4,19.1,0.65,10.2,34.8,11.4,6,3.43,12.1,15,1
Boston College,4.03,5.22,6,14,66.9,68.1,40.6,24.6,57.5,0.428,5.76,18.6,0.309,12,17,0.704,10.7,34.2,12.4,7.18,2.94,11.9,15.6,0
Boston University,-5.07,-7.34,11,7,70.6,67.7,40.4,25.5,56.2,0.454,7.51,21.2,0.354,12,16.3,0.739,10.2,34.8,11,5.63,2.43,12.1,15.6,0
Bowling Green,-8.82,-4.44,6,14,80.3,80.5,40.3,28.4,65.3,0.435,8.23,24.2,0.34,15.2,20.5,0.739,12.1,38.8,12.6,7.32,3.42,12.3,17.7,0
Bradley,5.79,1.19,11,7,70.5,65.2,40.2,25.8,58.1,0.444,7.77,23,0.338,11.2,16.2,0.689,11.2,38.8,13.5,6.35,4.58,13.5,17,0
BYU,10.05,5.23,9,6,74.3,68.3,40.3,27.4,60,0.457,8,22.7,0.353,11.4,15.9,0.718,10.7,39.3,14.7,4.8,3.17,12.6,17.7,0
Brown,-3.32,-1.91,5,9,71,69.5,40,25.5,58.6,0.435,7.21,23,0.313,12.8,18,0.709,10.5,35.5,12.2,6.69,3.86,13.1,17.9,0
Bryant,-4.8,-7.41,15,2,78,73.4,40.3,27.5,62.9,0.437,8.25,27.1,0.304,14.8,20.3,0.732,12.6,41.3,13.9,6.47,4.47,13.9,17,1
Bucknell,-14.62,-6.37,5,13,71.2,79.4,40.9,25.6,55.9,0.457,7.91,21,0.376,12.1,15.8,0.765,6.81,31.7,14.7,4.63,3.13,13.5,15.3,0
Buffalo,1.9,-3.21,13,6,79.9,72.3,40,29.7,65.2,0.455,8.5,24.9,0.342,12,17,0.709,14.2,42.4,15,7.13,4.57,13.2,17.1,0
Butler,4.45,9.16,6,14,63.8,66.9,40.5,22.7,54.5,0.416,6.94,22.8,0.305,11.5,16.5,0.696,9.03,32.8,11,5.18,2.42,12,16.7,0
Cal Poly,-10.6,-3.3,4,12,61.5,67.3,40.5,21.2,51.8,0.409,5.25,18.1,0.29,13.9,19,0.728,9.25,35,10.5,4.71,2.43,14.7,19.4,0
Cal State Bakersfield,-7.57,-2.01,2,14,64.9,66.3,40,24.4,57.6,0.423,3.82,13.3,0.288,12.3,17.5,0.706,11.9,35,9.96,6.18,2.39,11.7,20.6,0
Cal State Fullerton,-0.04,-2.28,12,5,70,66.5,40,24.8,55.7,0.445,5.5,16.7,0.329,15,19.5,0.766,9.75,33.4,11.3,7.28,1.97,12.1,15.8,1
Cal State Northridge,-12.02,-1.41,3,15,61.6,71.2,40.5,22.6,56.1,0.403,5.13,16.9,0.303,11.2,16.5,0.682,9.83,31.7,9.17,7.2,2.53,12.3,18.7,0
Cal Baptist,-3.53,-3.34,7,11,70.6,67.2,40.1,24.4,55.9,0.437,8,24,0.333,13.8,20.4,0.673,10,37.1,15.9,5.18,2.74,13.9,18.4,0
UC Davis,-3.7,-4.29,6,6,67.8,66.4,40.2,25,56.9,0.44,6.08,18.3,0.333,11.7,16.5,0.705,8.88,34.3,11.3,6,2.88,12.5,18.5,0
UC Irvine,1.59,-0.93,10,5,66.2,60.3,40,24.4,55.1,0.442,5.04,15.5,0.325,12.5,16.3,0.765,10,36.3,10.9,6,3.56,13.5,18,0
UC Riverside,-0.92,-1.89,10,7,66.6,63.7,40.5,24.4,55.1,0.442,7.18,22.4,0.32,10.6,14.8,0.72,7.89,35.5,13.3,5.25,1.32,12.3,16,0
UC San Diego,-7.04,-3.78,7,11,70.2,70.6,40.2,24,54.2,0.444,9.14,24.7,0.37,13,17.4,0.748,5.93,30.6,13.6,5.76,1.83,12.6,14.6,0
UC Santa Barbara,1.38,-4.39,9,6,73.8,65.8,40.9,27,54.5,0.494,5.43,16.4,0.332,14.4,20.4,0.708,9.07,34.9,15.6,6.25,2.93,13.3,17.3,0
California,3.96,6.96,5,15,63.1,66.1,40.3,23.6,56.2,0.42,5.47,17.8,0.308,10.3,14.2,0.727,8.72,35,10.7,4.88,2.59,11.2,16.5,0
Campbell,-4.84,-5.76,8,8,66.2,62,40.3,24.9,54,0.46,6.34,19.9,0.318,10.1,14.9,0.68,6.93,31.9,13.9,6.21,2.28,10.4,13.8,0
Canisius,-7.48,-2.25,7,13,68.5,71.5,40.3,24.3,60.7,0.4,7.38,24.1,0.306,12.6,18.1,0.693,11.1,35.4,13,6.03,2.59,11.8,17.2,0
Central Arkansas,-13.83,-1.7,7,9,73.2,81.1,40.3,27.8,63.2,0.44,6.68,22.2,0.3,10.9,14.3,0.761,10.1,35.5,14.3,6.81,3.19,13.7,16.7,0
Central Connecticut,-17.43,-7.09,4,13,61.8,72.1,40.5,21.6,54.8,0.393,7.34,21.5,0.342,11.3,16,0.708,9.25,31.9,10.6,6.22,2.19,13.8,16.1,0
UCF,6.23,4.63,9,9,69.8,68.2,40.2,24.7,58.3,0.423,8.8,25.1,0.35,11.7,16.6,0.703,11.1,35.2,14.5,7,3.67,13,15.7,0
Central Michigan,-12.56,-1.52,6,12,65.9,77,40.2,23.1,56.5,0.409,7.73,22.7,0.341,11.9,17.2,0.692,9.2,33.2,11.5,6.27,3.03,13.6,19.9,0
Charleston Southern,-17.56,-4.21,1,15,68.5,76,40.2,24,59,0.408,8.26,26.8,0.308,12.1,17.9,0.676,10.5,36.2,12,6.55,3,14.6,16.2,0
Charlotte,-1.62,-0.42,10,8,70,71.2,40,25.2,54.8,0.46,7.52,21.8,0.345,12.1,15.3,0.792,7.1,31.3,14,4.81,2.9,11.5,14.1,0
Chattanooga,6.12,-0.94,14,4,74.2,64.4,40.3,27.3,58.8,0.464,7.89,22.9,0.345,11.7,15.6,0.746,10.8,36.1,12.8,7.2,2.14,11,15.6,1
Chicago State,-14.24,-1.96,3,15,62.1,74.4,40,21.9,56,0.391,7.59,24.5,0.31,10.8,16.4,0.654,11.5,33.3,9.47,5.47,2.25,14.8,19.7,0
